event,year,game,is_Bonus,is_TASBot,has_Incentive,has_Goal,developer,publisher,initial_release_year,initial_consoles,initial_consoles_clean,initial_generation,metascore,user_score,was_on_PC
AGDQ,2021,BPM: Bullets Per Minute,0,0,1,1,Awe Interactive,Awe Interactive,2020,PC,PC,Various,77,7.5,1
AGDQ,2021,Golden Sun,0,0,1,1,Camelot Software Planning,Nintendo,2001,Game Boy Advance,Game Boy Advance,6,91,9,0
AGDQ,2021,Minecraft Dungeons,0,0,1,0,Mojang Studios,Xbox Game Studios,2020,"PS4, Xbox One, Nintendo Switch, PC","PS4, Xbox One, Nintendo Switch, PC",8,70,6,1
AGDQ,2021,Spider-Man: Shattered Dimensions,0,0,1,0,Beenox,Activision,2010,"PS3, Xbox 360, Wii, PC","PS3, Xbox 360, Wii, PC",7,73,7.5,1
AGDQ,2021,Spyro Reignited Trilogy: Spyro 3 Year of the Dragon,0,0,0,0,Toys for Bob,Activision,2018,"PS4, Xbox One","PS4, Xbox One",8,82,8.5,0
AGDQ,2021,Crash Bandicoot: N. Sane Trilogy,0,0,0,0,Vicarious Visions,Activision,2017,PS4,PS4,8,80,8.5,0
AGDQ,2021,Ratchet & Clank: Going Commando,0,0,0,0,Insomniac Games,Sony Computer Entertainment,2003,PlayStation 2,PS2,6,90,8.9,0
AGDQ,2021,Devil May Cry 3: Special Edition,0,0,1,0,Capcom,Capcom,2006,PlayStation 2,PS2,6,84,8.8,0
AGDQ,2021,Super Mario World 2: Yoshi's Island,0,0,0,0,Nintendo EAD,Nintendo,1995,SNES,SNES,4,N/A,N/A,0
AGDQ,2021,The Legend of Zelda: Skyward Sword,0,0,1,0,Nintendo EAD,Nintendo,2011,Wii,Wii,7,93,8.1,0
AGDQ,2021,Daily Recap - Wednesday,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGDQ,2021,The Lawnmower Man,0,0,0,0,Sales Curve Interactive,THQ,1993,"SNES, Genesis","SNES, Sega Genesis",4,N/A,N/A,0
AGDQ,2021,Wario Land 4,0,0,1,1,Nintendo R&D1,Nintendo,2001,Game Boy Advance,Game Boy Advance,6,91,8.9,0
AGDQ,2021,Super Orb Bros.,0,0,0,0,Fan-made (ROM hack),N/A,2020,NES (ROM hack),NES,3,N/A,N/A,0
AGDQ,2021,Mirror's Edge,0,0,0,0,DICE,Electronic Arts,2008,"PS3, Xbox 360, PC","PS3, Xbox 360, PC",7,81,7.4,0
AGDQ,2021,Donkey Kong Country,0,0,0,0,Rare,Nintendo,1994,SNES,SNES,4,N/A,N/A,0
AGDQ,2021,Just Cause 3,0,0,0,0,Avalanche Studios,Square Enix,2015,"PS4, Xbox One, PC","PS4, Xbox One, PC",8,73,6,1
AGDQ,2021,Ratchet & Clank (2016),0,0,1,0,Insomniac Games,Sony Computer Entertainment,2016,PlayStation 4,PS4,8,85,8.6,0
AGDQ,2021,Mega Man X5,0,0,1,1,Capcom,Capcom,2001,PlayStation,PlayStation,5,79,7.8,0
AGDQ,2021,Dragon Age: Origins,0,0,1,0,BioWare,Electronic Arts,2009,"PS3, Xbox 360, PC","PS3, Xbox 360, PC",7,91,8.9,1
AGDQ,2021,Ori and the Will of the Wisps,0,0,0,0,Moon Studios,Xbox Game Studios,2020,"Xbox One, PC","Xbox One, PC",8,90,8.9,1
AGDQ,2021,Diddy Kong Racing,0,0,0,0,Rare,Nintendo,1997,Nintendo 64,N64,5,88,8.9,0
AGDQ,2021,Metroid: Zero Mission,0,0,0,0,Nintendo R&D1,Nintendo,2004,Game Boy Advance,Game Boy Advance,6,89,9,0
AGDQ,2021,Daily Recap - Sunday,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGDQ,2021,Lightmatter,0,0,0,0,Tunnel Vision Games,Aspyr,2020,PC,PC,Various,81,7.5,1
AGDQ,2021,Pikmin 2,0,0,0,0,Nintendo EAD,Nintendo,2004,GameCube,GameCube,6,90,9,0
AGDQ,2021,Metal Gear Solid 4: Guns of the Patriots,0,0,0,0,Kojima Productions,Konami,2008,PlayStation 3,PS3,7,94,8.8,0
AGDQ,2021,Otogi: Myth of Demons,0,0,0,0,FromSoftware,Sega,2003,Xbox,Xbox,6,80,8.5,0
AGDQ,2021,Ghostbusters,0,0,1,0,Terminal Reality,Atari,2009,"PlayStation 3, Xbox 360, PC","PS3, Xbox 360, PC",7,79,8.2,1
AGDQ,2021,Magical Taruruuto-kun,0,0,0,0,Game Freak,Sega,1992,Sega Mega Drive,Sega Genesis,4,N/A,N/A,0
AGDQ,2021,Ecco the Dolphin,0,0,0,0,Novotrade International,Sega,1992,Sega Genesis,Sega Genesis,4,N/A,N/A,0
AGDQ,2021,Taz-Mania,0,0,0,0,Sega,Sega,1992,Sega Genesis,Sega Genesis,4,N/A,N/A,0
AGDQ,2021,Startropics,0,0,1,1,Nintendo R&D3,Nintendo,1990,NES,NES,3,N/A,N/A,0
AGDQ,2021,The Lucky Dime Caper starring Donald Duck,0,0,0,0,Sega,Sega,1991,Sega Master System,Sega Master System,3,N/A,N/A,0
AGDQ,2021,Yooka-Laylee and the Impossible Lair,0,0,1,0,Playtonic Games,Team17,2019,"PlayStation 4, Xbox One, Nintendo Switch, PC","PS4, Xbox One, Nintendo Switch, PC",8,82,7.9,1
AGDQ,2021,Turok: Dinosaur Hunter - PC Remaster,0,0,1,1,Nightdive Studios,Nightdive Studios,2015,PC,PC,Various,80,7.8,1
AGDQ,2021,Sonic 1 (2013),0,0,0,0,Christian Whitehead,Sega,2013,"iOS, Android",Mobile,Various,N/A,N/A,0
AGDQ,2021,Sonic 3: Angel Island Revisited,0,0,0,0,Fan Project,N/A,N/A,PC,PC,Various,N/A,N/A,1
AGDQ,2021,Sonic Mania,0,0,0,0,"Christian Whitehead, Headcannon, PagodaWest Games",Sega,2017,"PlayStation 4, Xbox One, Nintendo Switch, PC","PS4, Xbox One, Nintendo Switch, PC",8,86,8.6,1
AGDQ,2021,Sonic the Hedgehog (2006),0,0,1,1,Sonic Team,Sega,2006,"PlayStation 3, Xbox 360","PS3, Xbox 360",7,46,4.4,0
AGDQ,2021,Darksiders,0,0,0,0,Vigil Games,THQ,2010,"PlayStation 3, Xbox 360, PC","PS3, Xbox 360, PC",7,83,8.2,1
AGDQ,2021,Dark Messiah of Might and Magic,0,0,0,0,Arkane Studios,Ubisoft,2006,PC,PC,Various,72,8.1,1
AGDQ,2021,Bonus Game 1 - The Elder Scrolls V: Skyrim,1,0,1,1,Bethesda Game Studios,Bethesda Softworks,2011,"PlayStation 3, Xbox 360, PC","PS3, Xbox 360, PC",7,94,8.4,1
AGDQ,2021,TASbot plays Freedom Planet,0,1,0,0,GalaxyTrail,GalaxyTrail,2014,PC,PC,Various,84,8.5,1
AGDQ,2021,PokÃ©mon Blue,0,0,0,0,Game Freak,Nintendo,1996,Game Boy,Game Boy,3,N/A,N/A,0
AGDQ,2021,Bonus Game 3 - Zelda: The Wand of Gamelon,1,0,1,1,Animation Magic,Philips Interactive Media,1993,Philips CD-i,Philips CD-i,4,N/A,N/A,0
AGDQ,2021,King's Quest VIII: Mask of Eternity,0,0,0,0,Sierra On-Line,Sierra On-Line,1998,PC,PC,Various,70,7.4,1
AGDQ,2021,Pinobee: Wings of Adventure,0,0,0,0,Artoon,Hudson Soft,2001,Game Boy Advance,Game Boy Advance,6,66,7.3,0
AGDQ,2021,Epic Dumpster Bear 2: He Who Bears Wins,0,0,1,1,Log Games,Log Games,2019,Nintendo Switch,Switch,9,N/A,N/A,0
AGDQ,2021,Snow White in Happily Ever After,0,0,1,0,Imagitec Design,ASC Games,1994,Sega Genesis,Sega Genesis,4,N/A,N/A,0
AGDQ,2021,Alcatraz: Prison Escape,0,0,0,0,Zombie Inc.,Activision Value,2001,PC,PC,Various,N/A,N/A,1
AGDQ,2021,Mr. Bones,0,0,1,1,Zono Inc.,Sega,1996,Sega Saturn,Sega Saturn,5,N/A,N/A,0
AGDQ,2021,Shinobi Legions,0,0,0,0,Sega,Sega,1995,Sega Saturn,Sega Saturn,5,N/A,N/A,0
AGDQ,2021,Energy,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGDQ,2021,Vigilance,0,0,0,0,Post Linear Entertainment,SegaSoft,1998,PC,PC,Various,N/A,N/A,1
AGDQ,2021,Sammy Suricate in Lion Land,0,0,0,0,Suricate Software,Suricate Software,2001,PC,PC,Various,N/A,N/A,1
AGDQ,2021,The Legend of Zelda: Link's Awakening DX,0,0,1,0,Nintendo R&D2,Nintendo,1998,Game Boy Color,Game Boy Color,5,N/A,N/A,0
AGDQ,2021,PokÃ©mon Platinum,0,0,0,0,Game Freak,Nintendo,2008,Nintendo DS,Nintendo DS,6,84,8.9,0
AGDQ,2021,Halo 3: ODST,0,0,0,0,Bungie,Microsoft Game Studios,2009,Xbox 360,Xbox 360,7,83,7.6,0
AGDQ,2021,Bonus Game 4 - Halo 3,1,0,1,1,Bungie,Microsoft Game Studios,2007,Xbox 360,Xbox 360,7,94,7.9,0
AGDQ,2021,Yakuza 6: The Song of Life,0,0,1,1,Ryu Ga Gotoku Studio,Sega,2016,PlayStation 4,PS4,8,83,8.1,0
AGDQ,2021,Scooby-Doo! Night of 100 Frights,0,0,0,0,Heavy Iron Studios,THQ,2002,"PlayStation 2, GameCube, Xbox","PS2, GameCube, Xbox",6,N/A,N/A,0
AGDQ,2021,MediEvil,0,0,0,0,SCE Cambridge Studio,Sony Computer Entertainment,1998,PlayStation,PlayStation,5,80,8.6,0
AGDQ,2021,Muchi Muchi Pork! 1.01,0,0,0,0,Cave,Cave,2007,Arcade,Arcade,Various,N/A,N/A,0
AGDQ,2021,Serious Sam: The First Encounter,0,0,1,1,Croteam,Gathering of Developers,2001,PC,PC,Various,83,8.8,1
AGDQ,2021,Serious Sam: The Second Encounter,0,0,1,1,Croteam,Gathering of Developers,2002,PC,PC,Various,85,8.8,1
AGDQ,2021,Thief II: The Metal Age,0,0,0,0,Looking Glass Studios,Eidos Interactive,2000,PC,PC,Various,87,9,1
AGDQ,2021,Comfort Zone,0,0,0,0,Checkmate,Checkmate,2018,Nintendo Switch,Switch,9,N/A,N/A,0
AGDQ,2021,Celeste,0,0,1,1,Maddy Makes Games,Maddy Makes Games,2018,"PlayStation 4, Xbox One, Nintendo Switch, PC","PS4, Xbox One, Nintendo Switch, PC",8,94,8.5,1
AGDQ,2021,Castlevania III: Dracula's Curse,0,0,1,0,Konami,Konami,1989,NES,NES,3,N/A,N/A,0
AGDQ,2021,Castlevania: Order of Ecclesia,0,0,1,0,Konami,Konami,2008,Nintendo DS,Nintendo DS,6,85,8.6,0
AGDQ,2021,Fist of the North Star,0,0,0,0,Sega,Sega,1986,Sega Master System,Sega Master System,3,N/A,N/A,0
AGDQ,2021,RollerGames,0,0,0,0,Konami,Konami,1990,NES,NES,3,N/A,N/A,0
AGDQ,2021,River City Ransom,0,0,1,1,Technōs Japan,American Technōs Inc.,1989,NES,NES,3,N/A,N/A,0
AGDQ,2021,Aladdin,0,0,0,0,Virgin Games,Sega,1993,Sega Genesis,Sega Genesis,4,N/A,N/A,0
AGDQ,2021,Metroid,0,0,1,0,Nintendo R&D1,Nintendo,1986,NES,NES,3,N/A,N/A,0
AGDQ,2021,Mega Man,0,0,0,0,Capcom,Capcom,1987,NES,NES,3,N/A,N/A,0
AGDQ,2021,Mega Man 11,0,0,0,0,Capcom,Capcom,2018,"PlayStation 4, Xbox One, Nintendo Switch, PC","PS4, Xbox One, Nintendo Switch, PC",8,80,7.8,1
AGDQ,2021,Mega Man X3,0,0,0,0,Capcom,Capcom,1995,SNES,SNES,4,N/A,N/A,0
AGDQ,2021,Tony Hawk's Underground 2,0,0,1,1,Neversoft,Activision,2004,"PlayStation 2, Xbox, GameCube, PC","PS2, Xbox, GameCube, PC",6,83,8.5,1
AGDQ,2021,Tony Hawk's Pro Skater 1+2,0,0,0,0,Vicarious Visions,Activision,2020,"PlayStation 4, Xbox One, PC","PS4, Xbox One, PC",8,89,8.8,1
AGDQ,2021,Metroid Prime,0,0,0,0,Retro Studios,Nintendo,2002,GameCube,GameCube,6,97,9.3,0
AGDQ,2021,Shovel Knight: Specter of Torment,0,0,0,0,Yacht Club Games,Yacht Club Games,2017,"Nintendo Switch, PC","Switch, PC",9,82,8,1
AGDQ,2021,Cuphead,0,0,1,0,Studio MDHR,Studio MDHR,2017,"Xbox One, PC","Xbox One, PC",8,86,8.2,1
AGDQ,2021,Bonus Game 2 - Hades,1,0,1,1,Supergiant Games,Supergiant Games,2020,"Nintendo Switch, PC","Switch, PC",9,93,8.8,1
AGDQ,2021,Daily Recap - Tuesday,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGDQ,2021,Left 4 Dead 2,0,0,1,1,Valve Corporation,Valve Corporation,2009,"PC, Xbox 360","PC, Xbox 360",7,89,8.9,1
AGDQ,2021,F.E.A.R.,0,0,0,0,Monolith Productions,Vivendi Universal,2005,PC,PC,Various,88,8.8,1
AGDQ,2021,Carrion,0,0,0,0,Phobia Game Studio,Devolver Digital,2020,"PC, Xbox One, Switch","PC, Xbox One, Switch",8,75,7.5,1
AGDQ,2021,Axiom Verge,0,0,0,0,Thomas Happ Games,Thomas Happ Games,2015,"PS4, PC","PS4, PC",8,84,8.1,1
AGDQ,2021,Silent Hill 3,0,0,0,0,Konami,Konami,2003,PS2,PS2,6,85,8.9,0
AGDQ,2021,Haunting Ground,0,0,1,1,Capcom,Capcom,2005,PS2,PS2,6,67,8.2,0
AGDQ,2021,Resident Evil: Director's Cut,0,0,1,0,Capcom,Capcom,1997,PS1,Playstation,5,N/A,N/A,0
AGDQ,2021,PIEN-ã´ãˆã‚“-,0,0,0,0,Bakumatsu Games,Bakumatsu Games,2020,PC,PC,Various,N/A,N/A,1
AGDQ,2021,Michael Jordan: Chaos in the Windy City,0,0,1,1,Electronic Arts,Electronic Arts,1994,SNES,SNES,4,N/A,N/A,0
AGDQ,2021,Ice Age: Scrat's Nutty Adventure,0,0,0,0,Just Add Water,Outright Games,2019,"PS4, Xbox One, Switch, PC","PS4, Xbox One, Switch, PC",8,50,5.8,1
AGDQ,2021,Into The Breach,0,0,1,0,Subset Games,Subset Games,2018,PC,PC,Various,90,8.2,1
AGDQ,2021,Mario Golf: Toadstool Tour,0,0,0,0,Camelot Software Planning,Nintendo,2003,GameCube,GameCube,6,82,8.5,0
AGDQ,2021,Strider,0,0,0,0,Double Helix Games,Capcom,2014,"PS3, PS4, Xbox 360, Xbox One, PC","PS3, PS4, Xbox 360, Xbox One, PC",7,77,7.5,1
AGDQ,2021,Star Wars Jedi: Fallen Order,0,0,0,0,Respawn Entertainment,Electronic Arts,2019,"PS4, Xbox One, PC","PS4, Xbox One, PC",8,81,8.2,1
AGDQ,2021,Resident Evil 5,0,0,1,0,Capcom,Capcom,2009,"PS3, Xbox 360","PS3, Xbox 360",7,84,7.1,0
AGDQ,2021,TimeSplitters 2,0,0,0,0,Free Radical Design,Eidos Interactive,2002,"PS2, Xbox, GameCube","PS2, Xbox, GameCube",6,90,8.8,0
AGDQ,2021,I Wanna Be The Fangame!,0,0,1,1,Fan-made,N/A,2010,PC,PC,Various,N/A,N/A,1
AGDQ,2021,Slowdrive,0,0,1,0,OneBraveMan,OneBraveMan,2017,PC,PC,Various,N/A,N/A,1
AGDQ,2021,Alwa's Legacy,0,0,0,0,Elden Pixels,Elden Pixels,2020,PC,PC,Various,80,7.8,1
AGDQ,2021,Sheepo,0,0,0,0,Kyle Thompson,Kyle Thompson,2020,PC,PC,Various,N/A,N/A,1
AGDQ,2021,Whipseey and the Lost Atlas,0,0,0,0,Daniel A. Ramirez,Blowfish Studios,2019,"PS4, Xbox One, Switch, PC","PS4, Xbox One, Switch, PC",8,55,5.8,1
AGDQ,2021,Demolition Man,0,0,0,0,Virgin Interactive,Acclaim Entertainment,1995,"SNES, Sega Genesis","SNES, Sega Genesis",4,N/A,N/A,0
AGDQ,2021,Inertial Drift,0,0,1,1,Level 91 Entertainment,PQube,2020,"PS4, Xbox One, Switch, PC","PS4, Xbox One, Switch, PC",8,80,7.5,1
SGDQ,2021,Devil May Cry 5: Special Edition,0,0,1,1,Capcom,Capcom,2020,"PlayStation 5, Xbox Series X","PS5, Xbox Series X",9,84,8.8,0
SGDQ,2021,Tomb Raider: Anniversary,0,0,0,0,Crystal Dynamics,Eidos Interactive,2007,"PlayStation 2, PSP, Windows","PS2, PSP, PC",6,83,8.2,1
SGDQ,2021,Ristar,0,0,0,0,Sonic Team,Sega,1995,Sega Genesis,Sega Genesis,4,N/A,N/A,0
SGDQ,2021,Sonic 3D Blast,0,0,0,0,Traveller's Tales,Sega,1996,"Sega Genesis, Sega Saturn","Sega Genesis, Sega Saturn",4,N/A,N/A,0
SGDQ,2021,Sonic Adventure 2: Battle,0,0,1,0,Sonic Team,Sega,2001,GameCube,GameCube,6,73,8.6,0
SGDQ,2021,Super Mario Bros. 2,0,0,0,0,Nintendo,Nintendo,1988,NES,NES,3,N/A,N/A,0
SGDQ,2021,Vanquish,0,0,0,0,PlatinumGames,Sega,2010,"PlayStation 3, Xbox 360","PS3, Xbox 360",7,84,8.4,0
SGDQ,2021,Doom Eternal (Ancient Gods 1),0,0,0,0,id Software,Bethesda Softworks,2020,"PlayStation 4, Xbox One, Windows","PS4, Xbox One, PC",8,88,8.8,1
SGDQ,2021,Daily Recap - Thursday,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SGDQ,2021,Bonus Game 4 - Halo 2,0,0,0,0,Bungie,Microsoft Game Studios,2004,Xbox,Xbox,6,95,8.7,0
SGDQ,2021,Return to Castle Wolfenstein,0,0,0,0,Gray Matter Interactive,Activision,2001,PC,PC,Various,88,8.9,1
SGDQ,2021,Heads Run,0,0,0,0,Kass-Stwa,Kass-Stwa,2017,PC,PC,Various,N/A,N/A,1
SGDQ,2021,Ponpu,0,0,1,0,Purple Tree Studio,Zordix Publishing,2020,"PC, Switch, PS4, Xbox One","PC, Switch, PS4, Xbox One",8,74,7,1
SGDQ,2021,Wizard of Legend,0,0,0,0,Contingent99,Humble Games,2018,"PC, Switch, PS4, Xbox One","PC, Switch, PS4, Xbox One",8,79,7.8,1
SGDQ,2021,Sonic the Hedgehog CD,0,0,0,0,Sonic Team,Sega,1993,Sega CD,Sega Genesis,4,N/A,N/A,0
SGDQ,2021,Black Mesa,0,0,1,1,Crowbar Collective,Crowbar Collective,2020,PC,PC,Various,84,8.8,1
SGDQ,2021,Half-Life: Opposing Force,0,0,0,0,Gearbox Software,Sierra Studios,1999,PC,PC,Various,85,8.7,1
SGDQ,2021,DANCERUSH STARDOM,0,0,0,0,Konami,Konami,2018,Arcade,Arcade,Various,N/A,N/A,0
SGDQ,2021,The Legend of Zelda: Breath of the Wild,0,0,0,0,Nintendo EPD,Nintendo,2017,"Switch, Wii U","Switch, Wii U",8,97,8.7,0
SGDQ,2021,Fire Emblem: Three Houses,0,0,1,0,"Intelligent Systems, Koei Tecmo",Nintendo,2019,Switch,Switch,9,89,8.7,0
SGDQ,2021,Spongebob's Truth or Square,0,0,0,0,Heavy Iron Studios,THQ,2009,"Wii, DS, PSP, Xbox 360","Wii, DS, PSP, Xbox 360",7,60,6.5,0
SGDQ,2021,Storks and Apes and Crocodiles,0,0,0,0,Morsel,N/A,2017,SNES (ROM hack),SNES,4,N/A,N/A,0
SGDQ,2021,Mega Man X2,0,0,0,0,Capcom,Capcom,1994,SNES,SNES,4,N/A,N/A,0
SGDQ,2021,Batman: The Video Game,0,0,0,0,Sunsoft,Sunsoft,1989,NES,NES,3,N/A,N/A,0
SGDQ,2021,Donkey Kong Country 3: Dixie Kong's Double Trouble!,0,0,1,1,Rare,Nintendo,1996,SNES,SNES,4,N/A,N/A,0
SGDQ,2021,Super Meat Boy Forever,0,0,0,0,Team Meat,Team Meat,2020,"PC, Switch, PS4, Xbox One","PC, Switch, PS4, Xbox One",8,72,6.5,1
SGDQ,2021,Record of Lodoss War: Deedlit in Wonder Labyrinth,0,0,0,0,Team Ladybug,Playism,2021,PC,PC,Various,80,8.2,1
SGDQ,2021,Cave Story 3D,0,0,1,1,Nicalis,NIS America,2011,3DS,Nintendo 3DS,7,82,7.5,0
SGDQ,2021,Metroid Prime 2: Echoes,0,0,0,0,Retro Studios,Nintendo,2004,GameCube,GameCube,6,92,8.9,0
SGDQ,2021,Shadow of the Colossus,0,0,1,1,Team Ico,Sony Computer Entertainment,2005,PS2,PS2,6,91,8.9,0
SGDQ,2021,Kirby: Nightmare in Dream Land,0,0,0,0,HAL Laboratory,Nintendo,2002,Game Boy Advance,Game Boy Advance,6,N/A,N/A,0
SGDQ,2021,Kirby's Dream Collection,0,0,0,0,HAL Laboratory,Nintendo,2012,Wii,Wii,7,N/A,N/A,0
SGDQ,2021,Super Mario Odyssey,0,0,0,0,Nintendo EPD,Nintendo,2017,Switch,Switch,9,97,8.9,0
SGDQ,2021,Daily Recap - Monday,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SGDQ,2021,Bonus Game 1 - Paper Mario,1,0,1,1,Intelligent Systems,Nintendo,2000,Nintendo 64,N64,5,93,9,0
SGDQ,2021,Bayonetta,0,0,0,0,PlatinumGames,Sega,2009,"Xbox 360, PlayStation 3","Xbox 360, PS3",7,90,8.8,0
SGDQ,2021,Penumbra Trilogy,0,0,0,0,Frictional Games,Paradox Interactive,2007,PC,PC,Various,81,8.2,1
SGDQ,2021,Kororinpa: Marble Mania,0,0,0,0,Hudson Soft,Hudson Soft,2006,Wii,Wii,7,70,7.5,0
SGDQ,2021,Coca Cola Kid,0,0,0,0,Aspect Co.,Sega,1994,Game Gear,Sega Game Gear,4,N/A,N/A,0
SGDQ,2021,Mischief Makers,0,0,0,0,Treasure,Enix,1997,Nintendo 64,N64,5,78,7.9,0
SGDQ,2021,Earthworm Jim,0,0,0,0,Shiny Entertainment,Playmates Interactive,1994,"Sega Genesis, SNES","Sega Genesis, SNES",4,N/A,N/A,0
SGDQ,2021,Golden Sun: The Lost Age,0,0,1,1,Camelot Software Planning,Nintendo,2002,Game Boy Advance,Game Boy Advance,6,86,8.9,0
SGDQ,2021,GeoGuessr,0,0,0,0,Anton Wallén,GeoGuessr AB,2013,Browser,PC,Various,N/A,N/A,1
SGDQ,2021,Ratchet & Clank: Into the Nexus,0,0,0,0,Insomniac Games,Sony Computer Entertainment,2013,PlayStation 3,PS3,7,76,7.8,0
SGDQ,2021,Crash Bandicoot 4: It's About Time,0,0,0,0,Toys for Bob,Activision,2020,"PlayStation 4, Xbox One","PS4, Xbox One",8,85,8.5,0
SGDQ,2021,Bonus Game 3 - Hitman 3,1,0,1,1,IO Interactive,IO Interactive,2021,"PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S, PC","PS4, PS5, Xbox One, Xbox Series X/S, PC",8,87,7.7,1
SGDQ,2021,Ghostrunner,0,0,1,0,One More Level,505 Games,2020,"PC, PlayStation 4, Xbox One","PC, PS4, Xbox One",8,81,7.8,1
SGDQ,2021,Mass Effect 2,0,0,1,1,BioWare,Electronic Arts,2010,"Xbox 360, PC, PlayStation 3","Xbox 360, PC, PS3",7,96,8.9,1
SGDQ,2021,Untitled Goose Game,0,0,1,1,House House,Panic,2019,"PC, Mac, Switch","PC, Switch",9,81,7.5,1
SGDQ,2021,Fight Crab,0,0,1,0,Calappa Games,PLAYISM,2020,PC,PC,Various,68,7,1
SGDQ,2021,Contrast,0,0,0,0,Compulsion Games,Focus Home Interactive,2013,"PC, PlayStation 3, PlayStation 4, Xbox 360","PC, PS3, PS4, Xbox 360",7,59,6.8,1
SGDQ,2021,Astro's Playroom,0,0,0,0,Japan Studio,Sony Interactive Entertainment,2020,PlayStation 5,PS5,9,83,8.2,0
SGDQ,2021,QuackShot: Starring Donald Duck,0,0,0,0,Sega,Sega,1991,Sega Genesis,Sega Genesis,4,N/A,N/A,0
SGDQ,2021,Rayman,0,0,0,0,Ubisoft Montpellier,Ubisoft,1995,"PlayStation, Atari Jaguar","PlayStation, Atari Jaguar",5,N/A,N/A,0
SGDQ,2021,PokÃ©mon Emerald,0,0,0,0,Game Freak,Nintendo,2004,Game Boy Advance,Game Boy Advance,6,N/A,N/A,0
SGDQ,2021,Bowser's Fury,0,0,0,0,Nintendo,Nintendo,2021,Switch,Switch,9,89,8.7,0
SGDQ,2021,Mario Kart 64,0,0,0,0,Nintendo EAD,Nintendo,1996,Nintendo 64,N64,5,N/A,N/A,0
SGDQ,2021,Super Metroid,0,0,1,0,Nintendo R&D1,Nintendo,1994,SNES,SNES,4,N/A,N/A,0
SGDQ,2021,Super Mario 64,0,0,1,1,Nintendo EAD,Nintendo,1996,Nintendo 64,N64,5,N/A,N/A,0
SGDQ,2021,Dragon Age: Inquisition,0,0,1,0,BioWare,Electronic Arts,2014,"PlayStation 3, PlayStation 4, Xbox 360, Xbox One, PC","PS3, PS4, Xbox 360, Xbox One, PC",7,85,7.9,1
SGDQ,2021,F-Zero GX,0,0,0,0,Amusement Vision,Nintendo,2003,GameCube,GameCube,6,89,8.8,0
SGDQ,2021,Psychonauts,0,0,1,1,Double Fine Productions,Majesco Entertainment,2005,"Xbox, PC, PlayStation 2","Xbox, PC, PS2",6,88,8.8,1
SGDQ,2021,Mega Man X,0,0,0,0,Capcom,Capcom,1993,SNES,SNES,4,N/A,N/A,0
SGDQ,2021,Spyro the Dragon (1998),0,0,0,0,Insomniac Games,Sony Computer Entertainment,1998,PlayStation,PlayStation,5,N/A,N/A,0
SGDQ,2021,Kirby Super Star,0,0,1,1,HAL Laboratory,Nintendo,1996,SNES,SNES,4,N/A,N/A,0
SGDQ,2021,James Bond 007: Nightfire,0,0,1,1,Eurocom,Electronic Arts,2002,"GameCube, PlayStation 2, Xbox, PC","GameCube, PS2, Xbox, PC",6,N/A,N/A,1
SGDQ,2021,K-Shoot Mania,0,0,0,0,Various,Various,2013,PC,PC,Various,N/A,N/A,1
SGDQ,2021,Metal Wolf Chaos XD,0,0,1,1,"FromSoftware, General Arcade",Devolver Digital,2019,"PlayStation 4, Xbox One, Windows","PS4, Xbox One, PC",8,67,7.1,1
SGDQ,2021,Daily Recap - Sunday,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SGDQ,2021,The Legend of Zelda: Oracle of Ages,0,0,0,0,Flagship,Nintendo,2001,Game Boy Color,Game Boy Color,5,N/A,N/A,0
SGDQ,2021,Metal Gear Solid: Portable Ops,0,0,0,0,Kojima Productions,Konami,2006,PlayStation Portable,PSP,6,87,8.4,0
SGDQ,2021,Max Payne 2: The Fall of Max Payne,0,0,0,0,Remedy Entertainment,Rockstar Games,2003,"Windows, Xbox, PlayStation 2","PC, Xbox, PS2",6,86,8.5,1
SGDQ,2021,Sundered,0,0,0,0,Thunder Lotus Games,Thunder Lotus Games,2017,"Windows, macOS, Linux, PlayStation 4","PC, PS4",8,76,7.5,1
SGDQ,2021,Pikmin 3 Deluxe,0,0,0,0,Nintendo,Nintendo,2020,Nintendo Switch,Switch,9,85,8.5,0
SGDQ,2021,Styx: Shards of Darkness,0,0,0,0,Cyanide,Focus Home Interactive,2017,"Windows, PlayStation 4, Xbox One","PC, PS4, Xbox One",8,72,7.4,1
SGDQ,2021,Nintendogs,0,0,1,0,Nintendo EAD,Nintendo,2005,Nintendo DS,Nintendo DS,6,85,8.2,0
SGDQ,2021,Zoda's Revenge: Startropics II,0,0,1,1,Nintendo R&D3,Nintendo,1994,NES,NES,3,N/A,N/A,0
SGDQ,2021,Tiny Toon Adventures,0,0,0,0,Konami,Konami,1991,NES,NES,3,N/A,N/A,0
